value,type,source,fetched_at,raw_row
TYPE,unknown,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,TYPE|URL|IP
vellalink.com/admin.php,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,Sakura exploit kit|vellalink.com/admin.php|
tuxuu.u-gu.ru/index.php,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,BlackEnergy|tuxuu.u-gu.ru/index.php|
SKY-Loader v.1.2,domain,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SKY-Loader v.1.2|qrnju.dopitter.info/stat/admin.php|
zboyz657.info/nolock/control.php,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,Crimepack|zboyz657.info/nolock/control.php|
udhisparty.net/control.php,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,Crimepack|udhisparty.net/control.php|
traff-hits433.info/ub/control.php,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,Crimepack|traff-hits433.info/ub/control.php|
Phoenix Exploit Kit 3.1,domain,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,Phoenix Exploit Kit 3.1|validatoronmee.ru:8080/pages/bmfoaqdzhuclgqgreudq9.php|
www2.mcgregart.com/admin/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SUTRA|www2.mcgregart.com/admin/|
hgjfjg55555555555555.nl.ai/admin/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SUTRA|hgjfjg55555555555555.nl.ai/admin/|
findervid.com/admin/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SUTRA|findervid.com/admin/|
vehiclefind24.com/admin/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SUTRA|vehiclefind24.com/admin/|
whitetms.com/loader/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,Unknown|whitetms.com/loader/|
outclickstds.com/admin/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SUTRA|outclickstds.com/admin/|
trylook.ru/frmcp1/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|trylook.ru/frmcp1/|
trasaner.gv.vg/frmcp0/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|trasaner.gv.vg/frmcp0/|
pottema.gv.vg/frmcp0/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|pottema.gv.vg/frmcp0/|
havephun.org/frmcp1/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|havephun.org/frmcp1/|
store.metascrape.com/skin/frontend/default/blue/css/update.php,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,WSO|store.metascrape.com/skin/frontend/default/blue/css/update.php|198.12.153.10
koletrezzo.ru/frmcp0/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|koletrezzo.ru/frmcp0/|
445566889900.com/_GG7/_MNFRM/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|445566889900.com/_GG7/_MNFRM/|
expertmailservice.com/formgrabber/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|expertmailservice.com/formgrabber/|
alameenhotel.com/spy/FormGrabber/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|alameenhotel.com/spy/FormGrabber/|
g00d8y3.1.vg/spynet/FormGrabber/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|g00d8y3.1.vg/spynet/FormGrabber/|
clicks-r-us.com/lick/formgrabber/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|clicks-r-us.com/lick/formgrabber/|
blogspotfudcrypters.com.nu/spyeye/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|blogspotfudcrypters.com.nu/spyeye/|
defcomlines.com/frmcp0/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|defcomlines.com/frmcp0/|
fullhousevscare.com/frmcp0/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|fullhousevscare.com/frmcp0/|
bkstrdljs.com/frmcp0/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|bkstrdljs.com/frmcp0/|
koletrezzo22.ru/frmcp0/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|koletrezzo22.ru/frmcp0/|
linebysharsa.com/frmcp0/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|linebysharsa.com/frmcp0/|
savemefrommyselff.com/frmcp0/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|savemefrommyselff.com/frmcp0/|
pleasekindlyuse.com/_GG7/_MNFRM/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|pleasekindlyuse.com/_GG7/_MNFRM/|
peppercomdefa.com/frmcp0/,network,https://cybercrime-tracker.net/csv.php,2025-10-07T13:49:06.554407+00:00,SpyEye|peppercomdefa.com/frmcp0/|
