# Dataplane.org - for operators, by operators
# dnsversion
# 2025-09-30 12:00 - 2025-10-07 12:00
#
# The dnsversion report is free for non-commercial use ONLY.  If you wish
# to discuss commercial use of this service, please contact us at
# info@dataplane.org.  Redistribution of the dnsversion report in whole or
# in part without the express permission of Dataplane.org is expressly
# prohibited.
#
# This report is made possible through the generous support of people
# like you.  Sensor, processing, and distribution systems require
# non-free resources to setup and maintain.  We are always looking for
# financial contributions to help pay the bills and hosting to increase
# visibility.  If you find what we do useful, please consider supporting
# us.
#
# This report is informational.  This is not a block list.  Deriving
# malicious or benign intent for an individual entry in the face of
# NATs, address spoofing, and certain types of Internet activity
# (e.g., surveying research) can be difficult.  The report is provided
# on an as-is basis with no expressed warranty or guarantee of accuracy.
# Use of this data is at your own risk.  If you have questions about
# this report do not hesitate to contact us.
#
# Entries below are records of source IP addresses that have been
# identified as sending DNS CH TXT VERSION.BIND queries.
# Each entry is sorted according to a route originating ASN.  An entry
# for the IP address is listed only once even if there are multiple
# origin AS (MOAS) announcements for the covering prefix.  We use the
# PyASN IP address to ASN mapping service to construct an origin AS
# number and name.  For details about PyASN, see:
#
#   <https://pypi.org/project/pyasn/>.
#
# The report format is as follows:
#
# ASN  |  ASname  |  ipaddr  |  lastseen  |  category
#
# Each field is described below.  Please note any special formatting
# rules to aid in processing this file with automated tools and scripts.
# Blank lines may be present to improve the visual display of this file.
# Lines beginning with a hash ('#') character are comment lines.  All
# other lines are report entries.  Each field is separated by a pipe
# symbol ('|') and at least two whitespace characters on either side.
#
#   ASN        Autonomous system number originating a route for the
#              entry IP address. Note, 4-byte ASNs are supported and
#              will be displayed as a 32-bit integer.  NA is shown if
#              an origin ASN cannot be found.
#
#   ASname     A descriptive network name for the associated ASN.  The
#              name is truncated to 30 characters.  NA is shown if an
#              AS name cannot be found.
#
#   ipaddr     The IPv4 address that is being reported.
#
#   lastseen   A last seen timestamp formatted as YYYY-mm-dd HH:MM:SS
#              in UTC time.
#
#   category   Descriptive tag name for this entry.  For this report,
#              the text dnsversion will appear.
#
# A commented footer section shows an aggregate count of ASNs and
# addresses seen in the current report.
#
174          |  COGENT-174                      |  2.59.22.234      |  2025-10-07 11:31:43  |  dnsversion
174          |  COGENT-174                      |  207.90.244.10    |  2025-10-05 01:28:20  |  dnsversion
174          |  COGENT-174                      |  207.90.244.11    |  2025-10-05 19:45:45  |  dnsversion
174          |  COGENT-174                      |  207.90.244.13    |  2025-10-07 07:39:05  |  dnsversion
174          |  COGENT-174                      |  207.90.244.14    |  2025-10-06 07:05:05  |  dnsversion
174          |  COGENT-174                      |  207.90.244.2     |  2025-10-05 03:34:59  |  dnsversion
174          |  COGENT-174                      |  207.90.244.20    |  2025-10-05 13:01:24  |  dnsversion
174          |  COGENT-174                      |  207.90.244.21    |  2025-10-02 13:38:29  |  dnsversion
174          |  COGENT-174                      |  207.90.244.22    |  2025-10-06 01:33:06  |  dnsversion
174          |  COGENT-174                      |  207.90.244.23    |  2025-10-06 09:15:41  |  dnsversion
174          |  COGENT-174                      |  207.90.244.24    |  2025-10-04 11:12:04  |  dnsversion
174          |  COGENT-174                      |  207.90.244.25    |  2025-10-04 23:04:07  |  dnsversion
174          |  COGENT-174                      |  207.90.244.26    |  2025-10-06 18:32:02  |  dnsversion
174          |  COGENT-174                      |  207.90.244.27    |  2025-10-07 07:48:29  |  dnsversion
174          |  COGENT-174                      |  207.90.244.28    |  2025-10-07 11:53:29  |  dnsversion
174          |  COGENT-174                      |  207.90.244.3     |  2025-10-05 13:01:54  |  dnsversion
174          |  COGENT-174                      |  207.90.244.5     |  2025-10-05 19:44:25  |  dnsversion
577          |  BACOM                           |  207.35.68.4      |  2025-10-05 05:48:14  |  dnsversion
680          |  DFN Verein zur Foerderung eine  |  141.76.94.12     |  2025-10-04 22:06:55  |  dnsversion
3215         |  AS3215 Orange S.A.              |  80.13.153.140    |  2025-10-06 10:05:34  |  dnsversion
3215         |  AS3215 Orange S.A.              |  92.154.95.236    |  2025-10-06 08:46:47  |  dnsversion
3243         |  MEO-RESIDENCIAL MEO - SERVICOS  |  194.65.187.58    |  2025-10-07 00:51:07  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.193.63.147     |  2025-10-03 21:05:13  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.193.63.54      |  2025-10-04 23:21:24  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.193.63.61      |  2025-10-01 16:55:58  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.100     |  2025-10-04 02:38:38  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.135     |  2025-10-04 17:33:23  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.14      |  2025-10-07 04:59:41  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.190     |  2025-10-03 08:54:42  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.229     |  2025-10-04 20:52:06  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.232     |  2025-10-06 17:03:40  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.30      |  2025-10-06 22:26:29  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.42      |  2025-10-07 03:23:12  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.64      |  2025-10-04 11:18:26  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.94      |  2025-10-03 07:34:02  |  dnsversion
