,Bulkmode;whois.cymru.com[2025-10-0623:58:05+0000],,ASBulkmode;whois.cymru.com[2025-10-0623:58:05+0000],
99.229.217.102,812,99.229.192.0/18,AS812,CA
96.52.21.96,6327,96.52.20.0/22,AS6327,CA
95.84.134.186,42610,95.84.128.0/18,AS42610,RU
95.49.163.79,5617,95.48.0.0/14,AS5617,PL
95.49.154.80,5617,95.48.0.0/14,AS5617,PL
95.46.211.238,213029,95.46.210.0/23,AS213029,CZ
95.46.211.155,213029,95.46.210.0/23,AS213029,CZ
95.217.75.56,24940,95.217.0.0/16,AS24940,DE
95.167.225.76,12389,95.167.0.0/16,AS12389,RU
95.143.206.203,49770,95.143.192.0/20,AS49770,SE
95.111.251.22,51167,95.111.250.0/23,AS51167,DE
94.74.164.27,214196,94.74.164.0/24,AS214196,IR
94.72.96.74,51167,94.72.96.0/20,AS51167,DE
94.72.127.207,40021,94.72.120.0/21,AS40021,DE
94.72.126.13,40021,94.72.120.0/21,AS40021,DE
94.183.182.44,56971,94.183.182.0/24,AS56971,AE
94.182.145.141,213807,94.182.145.0/24,AS213807,IR
94.159.59.30,49531,94.159.58.0/23,AS49531,RU
94.159.107.127,215730,94.159.96.0/20,AS215730,RU
94.156.152.38,214209,94.156.152.0/24,AS214209,BG
94.103.188.88,200019,94.103.188.0/24,AS200019,RU
93.193.244.31,3320,93.192.0.0/10,AS3320,DE
93.152.230.176,210006,93.152.230.0/24,AS210006,BG
93.138.99.84,5391,93.138.0.0/16,AS5391,HR
93.138.189.137,5391,93.138.0.0/16,AS5391,HR
93.138.171.151,5391,93.138.0.0/16,AS5391,HR
93.136.36.122,5391,93.136.0.0/16,AS5391,HR
93.136.197.88,5391,93.136.0.0/16,AS5391,HR
93.126.54.107,213960,93.126.54.0/24,AS213960,IR
93.115.79.198,51559,93.115.79.0/24,AS51559,TR
92.50.201.68,12389,92.50.192.0/18,AS12389,RU
92.33.220.89,2119,92.32.0.0/14,AS2119,SE
92.207.4.157,31655,92.207.0.0/16,AS31655,GB
92.154.48.205,3215,92.154.0.0/17,AS3215,FR
92.118.39.95,47890,92.118.39.0/24,AS47890,RO
92.118.39.92,47890,92.118.39.0/24,AS47890,RO
