value,type,source,fetched_at
50.63.202.57,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
62.173.145.104,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
69.167.178.28,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
79.96.191.147,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
79.98.28.30,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
85.93.145.251,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
91.189.114.7,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
94.23.64.40,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
103.83.81.144,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
103.129.98.17,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
103.253.73.77,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
104.18.36.98,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
107.175.64.210,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
108.171.216.194,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
110.4.45.119,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
184.168.221.43,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
185.104.45.20,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
185.174.100.116,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
185.193.38.74,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
192.138.20.112,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
217.174.152.68,ip,https://iplists.firehol.org/files/malc0de.ipset,2025-10-07T13:29:33.461664Z
